Id,title,star,review,Cleaned,label
0,ali ghalambor,5,پل زیبا دوره صفویه پل کارکرد حساب آید می‌توانید رودخانه زاینده رود خیره بشید لذت ببرید داخل پل طاق هست نشستن استراحت پل معروف ترین آثار اصفهان هست بازدید رودخانه زیبایی پل چندان نور پردازی انعکاس پل آب نیر منظره زیبایی,پل زیبا دوره صفویه پل کارکرد حساب آید می‌توانید رودخانه زاینده رود خیره بشید لذت ببرید داخل پل طاق هست نشستن استراحت پل معروف ترین آثار اصفهان هست بازدید رودخانه زیبایی پل چندان نور پردازی انعکاس پل آب نیر منظره زیبایی,1
1,Shahrzad Rahimoghli,4,پل شاهکارهای معماری معروف ترین اماکن تاریخی استان اصفهان رود جلب مردم دنیا سفر اخیری اصفهان داشتیم پل قطره آب دل آدم درد اصلا باور کردنی زیبای اینگونه باتلاق پل نگاه طاق سرپوشیده خواهید دید رودخانه میانی پل اشراف مشاهده قدم زدن خالی لطف پیاده پل زیبا 99 طاقچه عبور مرور وسایل نقلیه پل ممنوع بنای تاریخی خوب مشاهده روز بروید ذکر ساعات نورپردازی زیبایی درخشان زیبایی باشکوه نظیری اختیار بازدیدکنندگان گردشگران تاریخی زیبا اصفهان ندهید,پل شاهکارهای معماری معروف ترین اماکن تاریخی استان اصفهان رود جلب مردم دنیا سفر اخیری اصفهان داشتیم پل قطره آب دل آدم درد اصلا باور کردنی زیبای اینگونه باتلاق پل نگاه طاق سرپوشیده خواهید دید رودخانه میانی پل اشراف مشاهده قدم زدن خالی لطف پیاده پل زیبا 99 طاقچه عبور مرور وسایل نقلیه پل ممنوع بنای تاریخی خوب مشاهده روز بروید ذکر ساعات نورپردازی زیبایی درخشان زیبایی باشکوه نظیری اختیار بازدیدکنندگان گردشگران تاریخی زیبا اصفهان ندهید,1
2,Alireza Fattahi,5,ی‌وسه‌پل پل الله‌وردی‌خان پلی 33 دهانه 295 14 زیرنظر الله‌وردی‌خان اوندیلادزه معماری استاد حسین اصفهانی زاینده‌رود شهر اصفهان همزمان حکومت شاه عباس صفوی ساخته برگزاری مراسم جشن آب‌پاشان مراسم خاج‌شویان ارامنهٔ اصفهان دورهٔ صفویه بوده‌است اندیشهٔ بنای سی‌وسه‌پل 1008 هجری قمری دوازدهمین پادشاهی شاه عباس 1011 هجری قمری الله‌وردی‌خان اوندیلادزه گرجی سردار مشهور مامور اتمام ساختمان پل گردید سفرنامه‌های سیاحان اروپایی دوران برگزاری جشن اشاره‌هایی شده‌است جشن 13 تیرماه برگزار مردم پاشیدن آب گلاب یک‌دیگر مراسم می‌کرده‌اند ارامنهٔ جلفای اصفهان مراسم خاج شویان محدوده پل برگزار می‌کرده‌اند پل شاه‌کارهای معماری پل‌سازی ایران زیبایی عظمت منحصر برخودار پرسی سایکس سی‌وسه‌پل پل‌های درجه اوّل جهان خواند شاردن شاه‌کار معماری شگفت‌آفرین دن گارسیا آثار معماری ایران خواند قول لرد کرزن «انسان انتظار رفته باشکوه‌ترین پل دنیا نامید ناچار مسافرت ایران باشد» دن گارسیا می‌نویسد «این پل بناهای الله‌وردی‌خان گرجی این‌که دشمنان حاسدانش پول ساخته شده‌است نمی‌توانند انکار بانی شخص اوست باور عموم مردم الله‌وردی‌خان پل خرج ساخته‌است» شعرای دورهٔ صفویه نقی کمره‌ای تاریخ بنای پل شعری گونهٔ ماده تاریخ 1005 هجری حساب آورده‌است درست هم‌زمان روزهایی خیابان بی‌همتای چهارباغ ساخته شده‌است سی‌وسه‌پل چهارباغ عباسی چهارباغ متصل,ی‌وسه‌پل پل الله‌وردی‌خان پلی 33 دهانه 295 14 زیرنظر الله‌وردی‌خان اوندیلادزه معماری استاد حسین اصفهانی زاینده‌رود شهر اصفهان همزمان حکومت شاه عباس صفوی ساخته برگزاری مراسم جشن آب‌پاشان مراسم خاج‌شویان ارامنهٔ اصفهان دورهٔ صفویه بوده‌است اندیشهٔ بنای سی‌وسه‌پل 1008 هجری قمری دوازدهمین پادشاهی شاه عباس 1011 هجری قمری الله‌وردی‌خان اوندیلادزه گرجی سردار مشهور مامور اتمام ساختمان پل گردید سفرنامه‌های سیاحان اروپایی دوران برگزاری جشن اشاره‌هایی شده‌است جشن 13 تیرماه برگزار مردم پاشیدن آب گلاب یک‌دیگر مراسم می‌کرده‌اند ارامنهٔ جلفای اصفهان مراسم خاج شویان محدوده پل برگزار می‌کرده‌اند پل شاه‌کارهای معماری پل‌سازی ایران زیبایی عظمت منحصر برخودار پرسی سایکس سی‌وسه‌پل پل‌های درجه اوّل جهان خواند شاردن شاه‌کار معماری شگفت‌آفرین دن گارسیا آثار معماری ایران خواند قول لرد کرزن «انسان انتظار رفته باشکوه‌ترین پل دنیا نامید ناچار مسافرت ایران باشد» دن گارسیا می‌نویسد «این پل بناهای الله‌وردی‌خان گرجی این‌که دشمنان حاسدانش پول ساخته شده‌است نمی‌توانند انکار بانی شخص اوست باور عموم مردم الله‌وردی‌خان پل خرج ساخته‌است» شعرای دورهٔ صفویه نقی کمره‌ای تاریخ بنای پل شعری گونهٔ ماده تاریخ 1005 هجری حساب آورده‌است درست هم‌زمان روزهایی خیابان بی‌همتای چهارباغ ساخته شده‌است سی‌وسه‌پل چهارباغ عباسی چهارباغ متصل,1
3,fatemeh momeni,5,وقت زاینده رود انقد آب نبوده میدون انقلاب برسید میتونید پل,وقت زاینده رود انقد آب نبوده میدون انقلاب برسید میتونید پل,1
4,Naser Omrani,5,آب رودخانه نور پردازی زیبای ایرانیان هنرمند هست هنری دارن اعم خوانندگی نوازندگی معمولا ابتدای پل هنر نمایی میکنند,آب رودخانه نور پردازی زیبای ایرانیان هنرمند هست هنری دارن اعم خوانندگی نوازندگی معمولا ابتدای پل هنر نمایی میکنند,1
5,Sara a,5,پل جاذبه توریستی اصفهان مسافران گردشگران اصفهان سفر پل بازدید سی‌وسه‌پل پل الله‌وردی‌خان پلی 33 دهانه 295 14 زیرنظر الله‌وردی‌خان اوندیلادزه معماری استاد حسین اصفهانی زاینده‌رود شهر اصفهان همزمان حکومت شاه عباس صفوی ساخته برگزاری مراسم جشن آب‌پاشان مراسم خاج‌شویان ارامنهٔ اصفهان دورهٔ صفویه بوده‌است اندیشهٔ بنای سی‌وسه‌پل 1008 هجری قمری دوازدهمین پادشاهی شاه عباس 1011 هجری قمری الله‌وردی‌خان اوندیلادزه گرجی سردار مشهور مامور اتمام ساختمان پل گردید سفرنامه‌های سیاحان اروپایی دوران برگزاری جشن اشاره‌هایی شده‌است جشن 13 تیرماه برگزار مردم پاشیدن آب گلاب یک‌دیگر مراسم می‌کرده‌اند ارامنهٔ جلفای اصفهان مراسم خاج شویان محدوده پل برگزار می‌کرده‌اند پل شاه‌کارهای معماری پل‌سازی ایران زیبایی عظمت منحصر برخودار,پل جاذبه توریستی اصفهان مسافران گردشگران اصفهان سفر پل بازدید سی‌وسه‌پل پل الله‌وردی‌خان پلی 33 دهانه 295 14 زیرنظر الله‌وردی‌خان اوندیلادزه معماری استاد حسین اصفهانی زاینده‌رود شهر اصفهان همزمان حکومت شاه عباس صفوی ساخته برگزاری مراسم جشن آب‌پاشان مراسم خاج‌شویان ارامنهٔ اصفهان دورهٔ صفویه بوده‌است اندیشهٔ بنای سی‌وسه‌پل 1008 هجری قمری دوازدهمین پادشاهی شاه عباس 1011 هجری قمری الله‌وردی‌خان اوندیلادزه گرجی سردار مشهور مامور اتمام ساختمان پل گردید سفرنامه‌های سیاحان اروپایی دوران برگزاری جشن اشاره‌هایی شده‌است جشن 13 تیرماه برگزار مردم پاشیدن آب گلاب یک‌دیگر مراسم می‌کرده‌اند ارامنهٔ جلفای اصفهان مراسم خاج شویان محدوده پل برگزار می‌کرده‌اند پل شاه‌کارهای معماری پل‌سازی ایران زیبایی عظمت منحصر برخودار,1
6,SEYED MOHAMMAD MODARESZADEH,5,مکان گردگشری اصفهان پله واقعا قشنگه مکان اگه میخواین مکان تاریخی اصفهان برید یه سر پل ویو منظره توی عالیه رفتید موقعی برید آب باشه,مکان گردگشری اصفهان پله واقعا قشنگه مکان اگه میخواین مکان تاریخی اصفهان برید یه سر پل ویو منظره توی عالیه رفتید موقعی برید آب باشه,1
7,mohsen m,5,پیشنهاد میکنم ساعت پل خواجو پیاده بیایید پل توی باغ قدم لذت ببرید عشق,پیشنهاد میکنم ساعت پل خواجو پیاده بیایید پل توی باغ قدم لذت ببرید عشق,1
8,behnoosh ekhlasi,4,زاینده رود آب نداشت پل آب زیبایی طراوت نداشت,زاینده رود آب نداشت پل آب زیبایی طراوت نداشت,1
9,shiva,4,قشنگ ترین جاهای دیدنی اصفهانه میتونید برید تماشاش لذت ببرید موقعی آب زاینده رود باشه فضاش توی قشنگ میشه,قشنگ ترین جاهای دیدنی اصفهانه میتونید برید تماشاش لذت ببرید موقعی آب زاینده رود باشه فضاش توی قشنگ میشه,1
