,title,star,review,Cleaned
0,ali ghalambor,5.0,+ یک پل زیبا از دوره صفویه که علاوه بر پل بودن کارکرد های دیگری هم دارد و یک نظر گاه به حساب می آید و شما می‌توانید به رودخانه زاینده رود خیره بشید و از آن لذت ببرید. + همچنین داخل پل طاق های هست که امکان نشستن و استراحت کردن را به شما می دهد. + این پل یکی از معروف ترین آثار اصفهان هست که حتما باید از آن بازدید کرد. + اگر رودخانه جریان داشته باشد زیبایی این پل دو چندان می شود. در شب هم به دلیل نور پردازی و انعکاس پل در آب نیر بسیار منظره زیبایی دارد., یک پل زیبا از دوره صفویه که علاوه بر پل بودن کارکرد های دیگری هم دارد و یک نظر گاه به حساب می آید و شما می‌توانید به رودخانه زاینده رود خیره بشید و از آن لذت ببرید همچنین داخل پل طاق های هست که امکان نشستن و استراحت کردن را به شما می دهد این پل یکی از معروف ترین آثار اصفهان هست که حتما باید از آن بازدید کرد اگر رودخانه جریان داشته باشد زیبایی این پل دو چندان می شود در شب هم به دلیل نور پردازی و انعکاس پل در آب نیر بسیار منظره زیبایی دارد 
1,Shahrzad Rahimoghli,4.0,سی و سه پل یکی از شاهکارهای معماری و از معروف ترین اماکن تاریخی استان اصفهان به شمار می رود و همیشه باعث جلب نظر بسیاری از مردم در تمام دنیا شده است در سفر اخیری که به اصفهان داشتیم متاسفانه دیدن سی و سه پل بدون حتی قطره ای آب دل آدم رو به درد می آورد اصلا باور کردنی نیست که این زیبای بی نظیر اینگونه به یک باتلاق تبدیل شده است اگر به دو طرف پل نگاه کنید طاق های سرپوشیده را خواهید دید که یک طرف آن به رودخانه و طرف دیگر آن به بخش میانی این پل اشراف دارد و قابل مشاهده است. قدم زدن بر روی آن خالی از لطف نیست . بخش پیاده رو این پل زیبا 99 طاقچه دارد. عبور و مرور وسایل نقلیه بر روی این پل ممنوع است. برای اینکه این بنای تاریخی رو خوب ببینید و جای جای ان را مشاهده کنید بهتر است روز به آنجا بروید قابل به ذکر است که ساعات شب نیز به علت نورپردازی زیبایی که دارد تمام بخش های آن، درخشان بوده و زیبایی باشکوه و بی نظیری را در اختیار بازدیدکنندگان و گردشگران قرار می دهد. دیدن این اثر تاریخی زیبا در اصفهان را از دست ندهید.,سی و سه پل یکی از شاهکارهای معماری و از معروف ترین اماکن تاریخی استان اصفهان به شمار می رود و همیشه باعث جلب نظر بسیاری از مردم در تمام دنیا شده است در سفر اخیری که به اصفهان داشتیم متاسفانه دیدن سی و سه پل بدون حتی قطره ای آب دل آدم رو به درد می آورد اصلا باور کردنی نیست که این زیبای بی نظیر اینگونه به یک باتلاق تبدیل شده است اگر به دو طرف پل نگاه کنید طاق های سرپوشیده را خواهید دید که یک طرف آن به رودخانه و طرف دیگر آن به بخش میانی این پل اشراف دارد و قابل مشاهده است قدم زدن بر روی آن خالی از لطف نیست بخش پیاده رو این پل زیبا 99 طاقچه دارد عبور و مرور وسایل نقلیه بر روی این پل ممنوع است برای اینکه این بنای تاریخی رو خوب ببینید و جای جای ان را مشاهده کنید بهتر است روز به آنجا بروید قابل به ذکر است که ساعات شب نیز به علت نورپردازی زیبایی که دارد تمام بخش های آن درخشان بوده و زیبایی باشکوه و بی نظیری را در اختیار بازدیدکنندگان و گردشگران قرار می دهد دیدن این اثر تاریخی زیبا در اصفهان را از دست ندهید 
2,Alireza Fattahi,5.0,ی‌وسه‌پل یا پل الله‌وردی‌خان، پلی است با ۳۳ دهانه، ۲۹۵ متر طول و ۱۴ متر عرض، که زیرنظر الله‌وردی‌خان اوندیلادزه و با معماری استاد حسین بنا اصفهانی بر روی زاینده‌رود در شهر اصفهان و همزمان با حکومت شاه عباس صفوی ساخته شده و جای برگزاری مراسم جشن آب‌پاشان و همچنین مراسم خاج‌شویان ارامنهٔ اصفهان در دورهٔ صفویه بوده‌است. اندیشهٔ بنای سی‌وسه‌پل در سال ۱۰۰۸ هجری قمری و در دوازدهمین سال پادشاهی شاه عباس یکم به وجود آمد و در سال ۱۰۱۱ هجری قمری، الله‌وردی‌خان اوندیلادزه گرجی، سردار مشهور او مأمور اتمام ساختمان پل گردید. در سفرنامه‌های سیاحان اروپایی آن دوران، به برگزاری این جشن اشاره‌هایی شده‌است. در این جشن که در ۱۳ تیرماه هر سال برگزار می‌شد مردم با پاشیدن آب و گلاب روی یک‌دیگر در این مراسم شرکت می‌کرده‌اند.ارامنهٔ جلفای اصفهان هم مراسم خاج شویان خود را در محدوده همین پل برگزار می‌کرده‌اند. این پل یکی از شاه‌کارهای معماری و پل‌سازی ایران محسوب می‌شود و از زیبایی و عظمت منحصر به فردی برخودار است.پرسی سایکس، سی‌وسه‌پل را یکی از پل‌های درجه اوّل جهان خواند،شاردن آن را شاه‌کار معماری و شگفت‌آفرین و دن گارسیا آن را از بهترین آثار معماری ایران خواند. و به قول لرد کرزن «انسان هیچ انتظار ندارد برای دیدن آنچه که روی هم رفته می‌توان آن را باشکوه‌ترین پل دنیا نامید، ناچار از مسافرت به ایران باشد». دن گارسیا در این باره می‌نویسد: «این پل نیز از بناهای الله‌وردی‌خان گرجی است و با این‌که دشمنان و حاسدانش می‌گویند این بنا با پول ساخته شده‌است، نمی‌توانند انکار کنند که بانی شخص اوست. اما باور عموم مردم این است که الله‌وردی‌خان پل را به خرج خود ساخته‌است». یکی از شعرای دورهٔ صفویه به نام علی نقی کمره‌ای تاریخ بنای پل را در شعری به گونهٔ ماده تاریخ، سال ۱۰۰۵ هجری به حساب آورده‌است و این سال، درست هم‌زمان با روزهایی است که خیابان بی‌همتای چهارباغ هم ساخته شده‌است. سی‌وسه‌پل، چهارباغ عباسی را به چهارباغ بالا متصل می‌کند.,ی‌وسه‌پل یا پل الله‌وردی‌خان پلی است با 33 دهانه 295 متر طول و 14 متر عرض که زیرنظر الله‌وردی‌خان اوندیلادزه و با معماری استاد حسین بنا اصفهانی بر روی زاینده‌رود در شهر اصفهان و همزمان با حکومت شاه عباس صفوی ساخته شده و جای برگزاری مراسم جشن آب‌پاشان و همچنین مراسم خاج‌شویان ارامنهٔ اصفهان در دورهٔ صفویه بوده‌است اندیشهٔ بنای سی‌وسه‌پل در سال 1008 هجری قمری و در دوازدهمین سال پادشاهی شاه عباس یکم به وجود آمد و در سال 1011 هجری قمری الله‌وردی‌خان اوندیلادزه گرجی سردار مشهور او مامور اتمام ساختمان پل گردید در سفرنامه‌های سیاحان اروپایی آن دوران به برگزاری این جشن اشاره‌هایی شده‌است در این جشن که در 13 تیرماه هر سال برگزار می‌شد مردم با پاشیدن آب و گلاب روی یک‌دیگر در این مراسم شرکت می‌کرده‌اند ارامنهٔ جلفای اصفهان هم مراسم خاج شویان خود را در محدوده همین پل برگزار می‌کرده‌اند این پل یکی از شاه‌کارهای معماری و پل‌سازی ایران محسوب می‌شود و از زیبایی و عظمت منحصر به فردی برخودار است پرسی سایکس سی‌وسه‌پل را یکی از پل‌های درجه اوّل جهان خواند شاردن آن را شاه‌کار معماری و شگفت‌آفرین و دن گارسیا آن را از بهترین آثار معماری ایران خواند و به قول لرد کرزن «انسان هیچ انتظار ندارد برای دیدن آنچه که روی هم رفته می‌توان آن را باشکوه‌ترین پل دنیا نامید ناچار از مسافرت به ایران باشد» دن گارسیا در این باره می‌نویسد «این پل نیز از بناهای الله‌وردی‌خان گرجی است و با این‌که دشمنان و حاسدانش می‌گویند این بنا با پول ساخته شده‌است نمی‌توانند انکار کنند که بانی شخص اوست اما باور عموم مردم این است که الله‌وردی‌خان پل را به خرج خود ساخته‌است» یکی از شعرای دورهٔ صفویه به نام علی نقی کمره‌ای تاریخ بنای پل را در شعری به گونهٔ ماده تاریخ سال 1005 هجری به حساب آورده‌است و این سال درست هم‌زمان با روزهایی است که خیابان بی‌همتای چهارباغ هم ساخته شده‌است سی‌وسه‌پل چهارباغ عباسی را به چهارباغ بالا متصل می‌کند 
3,fatemeh momeni,5.0,خیلی وقت بود زاینده رود انقد پر آب نبوده، به میدون انقلاب که برسید میتونید سی و سه پل رو ببینید,خیلی وقت بود زاینده رود انقد پر آب نبوده به میدون انقلاب که برسید میتونید سی و سه پل رو ببینید
4,Naser Omrani,5.0,وقتی آب رودخانه جاری باشد با نور پردازی ای که در شب انجام شده بسیار زیبای اغلب ایرانیان که هنرمند هست هنری دارن اعم از خوانندگی و نوازندگی معمولا ابتدای پل هنر نمایی میکنند,وقتی آب رودخانه جاری باشد با نور پردازی ای که در شب انجام شده بسیار زیبای اغلب ایرانیان که هنرمند هست هنری دارن اعم از خوانندگی و نوازندگی معمولا ابتدای پل هنر نمایی میکنند
5,Sara a,5.0,سی و سه پل یکی از جاذبه های توریستی اصفهان است که اغلب مسافران و گردشگران که به اصفهان سفر می کنند از این پل بازدید می کنند سی‌وسه‌پل یا همان پل الله‌وردی‌خان، پلی است با ۳۳ دهانه، ۲۹۵ متر طول و ۱۴ متر عرض، که زیرنظر الله‌وردی‌خان اوندیلادزه و با معماری استاد حسین بنا اصفهانی بر روی زاینده‌رود در شهر اصفهان و همزمان با حکومت شاه عباس صفوی ساخته شده و جای برگزاری مراسم جشن آب‌پاشان و همچنین مراسم خاج‌شویان ارامنهٔ اصفهان در دورهٔ صفویه بوده‌است. اندیشهٔ بنای سی‌وسه‌پل در سال ۱۰۰۸ هجری قمری و در دوازدهمین سال پادشاهی شاه عباس یکم به وجود آمد و در سال ۱۰۱۱ هجری قمری، الله‌وردی‌خان اوندیلادزه گرجی، سردار مشهور او مأمور اتمام ساختمان پل گردید.در سفرنامه‌های سیاحان اروپایی آن دوران، به برگزاری این جشن اشاره‌هایی شده‌است. در این جشن که در ۱۳ تیرماه هر سال برگزار می‌شد مردم با پاشیدن آب و گلاب روی یک‌دیگر در این مراسم شرکت می‌کرده‌اند.ارامنهٔ جلفای اصفهان هم مراسم خاج شویان خود را در محدوده همین پل برگزار می‌کرده‌اند. این پل یکی از شاه‌کارهای معماری و پل‌سازی ایران محسوب می‌شود و از زیبایی و عظمت منحصر به فردی برخودار است.,سی و سه پل یکی از جاذبه های توریستی اصفهان است که اغلب مسافران و گردشگران که به اصفهان سفر می کنند از این پل بازدید می کنند سی‌وسه‌پل یا همان پل الله‌وردی‌خان پلی است با 33 دهانه 295 متر طول و 14 متر عرض که زیرنظر الله‌وردی‌خان اوندیلادزه و با معماری استاد حسین بنا اصفهانی بر روی زاینده‌رود در شهر اصفهان و همزمان با حکومت شاه عباس صفوی ساخته شده و جای برگزاری مراسم جشن آب‌پاشان و همچنین مراسم خاج‌شویان ارامنهٔ اصفهان در دورهٔ صفویه بوده‌است اندیشهٔ بنای سی‌وسه‌پل در سال 1008 هجری قمری و در دوازدهمین سال پادشاهی شاه عباس یکم به وجود آمد و در سال 1011 هجری قمری الله‌وردی‌خان اوندیلادزه گرجی سردار مشهور او مامور اتمام ساختمان پل گردید در سفرنامه‌های سیاحان اروپایی آن دوران به برگزاری این جشن اشاره‌هایی شده‌است در این جشن که در 13 تیرماه هر سال برگزار می‌شد مردم با پاشیدن آب و گلاب روی یک‌دیگر در این مراسم شرکت می‌کرده‌اند ارامنهٔ جلفای اصفهان هم مراسم خاج شویان خود را در محدوده همین پل برگزار می‌کرده‌اند این پل یکی از شاه‌کارهای معماری و پل‌سازی ایران محسوب می‌شود و از زیبایی و عظمت منحصر به فردی برخودار است 
6,SEYED MOHAMMAD MODARESZADEH,5.0,یکی از بهترین مکان های گردگشری اصفهان سی و سه پله. واقعا قشنگه این مکان اگه میخواین به یکی از مکان های تاریخی اصفهان برید حتما یه سر به این پل بزنید. ویو منظره توی شب هم عالیه اگر رفتید موقعی برید که آب باشه.,یکی از بهترین مکان های گردگشری اصفهان سی و سه پله واقعا قشنگه این مکان اگه میخواین به یکی از مکان های تاریخی اصفهان برید حتما یه سر به این پل بزنید ویو منظره توی شب هم عالیه اگر رفتید موقعی برید که آب باشه 
7,mohsen m,5.0,پیشنهاد میکنم با صرف زمان حدود ۱ ساعت از پل خواجو پیاده بیایید به سمت سی و سه پل و توی ۴ باغ قدم بزنید لذت ببرید و عشق کنید,پیشنهاد میکنم با صرف زمان حدود 1 ساعت از پل خواجو پیاده بیایید به سمت سی و سه پل و توی 4 باغ قدم بزنید لذت ببرید و عشق کنید
8,behnoosh ekhlasi,4.0,خیلی دلم گرفت چون زاینده رود آب نداشت و پل هم بدون آب زیبایی و طراوت نداشت,خیلی دلم گرفت چون زاینده رود آب نداشت و پل هم بدون آب زیبایی و طراوت نداشت
9,shiva,4.0,یکی از قشنگ ترین جاهای دیدنی اصفهانه که میتونید برید و از تماشاش لذت ببرید. به خصوص موقعی که آب زاینده رود هم باز باشه فضاش توی شب قشنگ تر میشه.,یکی از قشنگ ترین جاهای دیدنی اصفهانه که میتونید برید و از تماشاش لذت ببرید به خصوص موقعی که آب زاینده رود هم باز باشه فضاش توی شب قشنگ تر میشه 
